"pickup_dt","borough","pickups","spd","vsb","temp","dewp","slp","pcp01","pcp06","pcp24","sd","hday"
2015-01-01 01:00:00,"Bronx",152,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,"Brooklyn",1519,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,"EWR",0,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,"Manhattan",5258,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,"Queens",405,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,"Staten Island",6,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 01:00:00,NA,4,5,10,30,7,1023.5,0,0,0,0,"Y"
2015-01-01 02:00:00,"Bronx",120,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,"Brooklyn",1229,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,"EWR",0,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,"Manhattan",4345,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,"Queens",331,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,"Staten Island",7,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 02:00:00,NA,11,3,10,30,6,1023,0,0,0,0,"Y"
2015-01-01 03:00:00,"Bronx",132,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,"Brooklyn",1601,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,"EWR",0,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,"Manhattan",4577,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,"Queens",440,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,"Staten Island",12,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 03:00:00,NA,1,5,10,30,8,1022.3,0,0,0,0,"Y"
2015-01-01 04:00:00,"Bronx",128,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,"Brooklyn",1390,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,"EWR",0,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,"Manhattan",3003,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,"Queens",344,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,"Staten Island",5,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 04:00:00,NA,2,5,10,29,9,1022,0,0,0,0,"Y"
2015-01-01 05:00:00,"Bronx",87,5,10,28,9,1021.8,0,0,0,0,"Y"
2015-01-01 05:00:00,"Brooklyn",759,5,10,28,9,1021.8,0,0,0,0,"Y"
2015-01-01 05:00:00,"EWR",0,5,10,28,9,1021.8,0,0,0,0,"Y"
